"filename", "language", "Markdown", "MS SQL", "JSON", "TypeScript", "JavaScript", "CSS", "TypeScript JSX", "Groovy", "XML", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 364, 0, 0, 10, 47, 421
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\promises\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 914, 0, 0, 35, 82, 1031
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\purchase\[poId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 393, 0, 0, 9, 32, 434
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\purchase\grn\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 294, 0, 0, 1, 20, 315
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\purchase\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 11, 37
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\purchase\manual\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 199, 0, 0, 5, 28, 232
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\purchase\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 427, 0, 0, 6, 33, 466
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\purchase\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 272, 0, 0, 2, 22, 296
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\purchase\success\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 0, 3, 10, 89
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\purchase\suggestions\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 201, 0, 0, 2, 21, 224
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\purchase\suppliers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 262, 0, 0, 3, 17, 282
