Date : 2026-05-18 22:38:38
Directory : c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13
Total : 94 files,  4756 codes, 236 comments, 639 blanks, all 5631 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\stores\tierStore.ts                              | TypeScript         |        154 |          3 |         16 |        173 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\utils\find-data.js                               | JavaScript         |          2 |          0 |          1 |          3 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\utils\list-columns.js                            | JavaScript         |          2 |          0 |          1 |          3 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\utils\list-portals.js                            | JavaScript         |          2 |          0 |          1 |          3 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\utils\setup-test-portal.js                       | JavaScript         |          2 |          0 |          1 |          3 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\supabase\functions\verify-license\index.ts           | TypeScript         |         61 |          8 |         12 |         81 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\supabase\migrations\043_security_hardening_rls.sql   | MS SQL             |         53 |         31 |         24 |        108 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\supabase\migrations\044_add_is_trial_to_licenses.sql | MS SQL             |          2 |          2 |          2 |          6 |
| c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\tsconfig.json                                        | JSON with Comments |          1 |          0 |          0 |          1 |
| Total                                                                                                             |                    |      4,756 |        236 |        639 |      5,631 |
+-------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
