"filename", "language", "YAML", "TypeScript", "MS SQL", "JavaScript", "HTML", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\karigars\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -820, 0, -17, -66, -903
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\karigars\shared\[identityId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -169, 0, -9, -28, -206
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\khata\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -749, 0, -20, -63, -832
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\ledger\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\lens-legacy\history\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -193, 0, -3, -14, -210
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\lens-legacy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -602, 0, -24, -66, -692
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\mandi\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -255, 0, -7, -32, -294
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\menu\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -185, 0, -10, -24, -219
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\messaging\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -317, 0, -11, -25, -353
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\network-preview\NetworkPreviewClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -249, 0, -23, -23, -295
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\network-preview\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -14, 0, 0, -3, -17
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\network\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -500, 0, -9, -48, -557
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -232, 0, -8, -23, -263
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\pairing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -135, 0, -4, -19, -158
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\parties\[partyId]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -167, 0, 0, -13, -180
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\parties\[partyId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -686, 0, -9, -69, -764
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\parties\import\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -219, 0, -1, -28, -248
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\parties\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -561, 0, -3, -54, -618
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\payroll\[periodId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -553, 0, -16, -55, -624
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\payroll\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -415, 0, -13, -54, -482
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\portal-manager\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -235, 0, -7, -27, -269
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\portal\[businessSlug]\invoices\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -115, 0, 0, -9, -124
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\portal\[businessSlug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -146, 0, 0, -11, -157
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\portal\auth\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -49, 0, -5, -10, -64
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\portal\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -154, 0, -9, -15, -178
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\portal\invoices\InvoicesClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -238, 0, -4, -14, -256
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\portal\invoices\[id]\pdf\route.ts", "TypeScript", 0, -45, 0, 0, 0, 0, 0, -8, -13, -66
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\portal\invoices\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -31, 0, -1, -8, -40
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\portal\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -50, 0, -3, -9, -62
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\portal\view\[token]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -126, 0, 0, -15, -141
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\pos\close\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -319, 0, -8, -35, -362
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\pos\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -389, 0, -19, -47, -455
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\production\analytics\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -209, 0, -2, -27, -238
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\production\batches\[batchId]\costing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -292, 0, -6, -32, -330
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\production\batches\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -168, 0, -3, -23, -194
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\production\daily-log\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -220, 0, -3, -24, -247
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\production\handover\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -328, 0, -11, -37, -376
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\production\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -572, 0, -12, -61, -645
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -364, 0, -10, -47, -421
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\promises\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -914, 0, -35, -82, -1031
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\purchase\[poId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -393, 0, -9, -32, -434
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\purchase\grn\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -294, 0, -1, -20, -315
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\purchase\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -23, 0, -3, -11, -37
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\purchase\manual\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -199, 0, -5, -28, -232
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\purchase\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -427, 0, -6, -33, -466
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\purchase\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -272, 0, -2, -22, -296
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\purchase\success\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -76, 0, -3, -10, -89
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\purchase\suggestions\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -201, 0, -2, -21, -224
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\purchase\suppliers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -262, 0, -3, -17, -282
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\quick-entry\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -780, 0, -30, -72, -882
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\reports\aging\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -256, 0, -3, -33, -292
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\reports\balance-sheet\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -199, 0, -2, -31, -232
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\reports\export\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -255, 0, -1, -24, -280
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\reports\ledger\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -199, 0, -6, -23, -228
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\reports\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -358, 0, -2, -28, -388
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\reports\profit-loss\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -256, 0, -7, -28, -291
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\reports\tax-return\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -258, 0, -6, -25, -289
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\reports\trial-balance\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -205, 0, 0, -19, -224
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\sales\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\samples\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -205, 0, -6, -19, -230
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\settings\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -330, 0, -5, -35, -370
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\settings\api\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -341, 0, -12, -43, -396
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\settings\backup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -713, 0, -41, -75, -829
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\settings\diagnostics\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -179, 0, 0, -22, -201
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\settings\exchange-rates\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -203, 0, 0, -22, -225
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\settings\import\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -185, 0, -8, -18, -211
